Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2021;Vias aéreas superiores;333;0.158;0.16
BR;Brasil;Ambos;2021;Crônicas das vias aéreas inferiores;39112;18.616;19.035
BR;Brasil;Ambos;2021;Pulmonares por agentes externos;8212;3.909;3.982
BR;Brasil;Ambos;2021;Interstício pulmonar;6047;2.878;2.928
BR;Brasil;Ambos;2021;Necróticas e supurativas;569;0.271;0.273
BR;Brasil;Ambos;2021;Pleura;1915;0.911;0.928
BR;Brasil;Ambos;2021;Outras do aparelho respiratório;16477;7.842;7.99
BR;Brasil;Ambos;2022;Órgãos digestivos;78677;37.31;37.31
BR;Brasil;Ambos;2022;"Pulmão, traqueia e brônquios";29576;14.03;14.02
BR;Brasil;Ambos;2022;Mama feminina;19363;9.18;9.18
BR;Brasil;Ambos;2022;Próstata;16429;7.79;7.79
BR;Brasil;Ambos;2022;Colo de útero;6983;3.31;3.31
BR;Brasil;Ambos;2022;Demais localizações;87595;41.54;41.54
BR;Brasil;Ambos;2022;Isquêmicas do coração;120658;57.22;57.19
BR;Brasil;Ambos;2022;Cerebrovasculares;107322;50.9;50.89
BR;Brasil;Ambos;2022;Demais cardiovasculares;172174;81.65;81.63
BR;Brasil;Ambos;2022;Vias aéreas superiores;654;0.31;0.155
BR;Brasil;Ambos;2022;Crônicas das vias aéreas inferiores;105824;50.186;25.093
BR;Brasil;Ambos;2022;Pulmonares por agentes externos;17974;8.524;4.262
